UTC, 
Akron, OH           | 81|30|44|W|-5.00|1
Albany, NY          | 73|45| 1|W|-5.00|1
Albuquerque, NM     |106|39| 5|W|-7.00|1
Allentown, PA       | 75|28| 6|W|-5.00|1
Amarillo, TX        |101|50| 4|W|-6.00|1
Atlanta, GA         | 84|23|37|W|-5.00|1
Augusta, ME         | 69|46|29|W|-5.00|1
Austin, TX          | 97|44|37|W|-6.00|1
Baltimore, MD       | 76|36|45|W|-5.00|1
Baton Rouge, LA     | 91|11| 0|W|-6.00|1
Beaumont, TX        | 94| 6| 9|W|-6.00|1
Berkeley, CA        |122|16|17|W|-8.00|1
Bismark, ND         |100|47|17|W|-6.00|1
Boise, ID           |116|11|58|W|-7.00|1
Boston, MA          | 71| 3|25|W|-5.00|1
Bridgeport, CT      | 73|11|22|W|-5.00|1
Buffalo, NY         | 78|52|21|W|-5.00|1
Burlington, VT      | 73|12|46|W|-5.00|1
Cambridge, MA       | 71| 6|22|W|-5.00|1
Camden, NJ          | 75| 7|14|W|-5.00|1
Canton, OH          | 81|22|37|W|-5.00|1
Carson City, NV     |119|46| 0|W|-8.00|1
Charleston, WV      | 81|37|52|W|-5.00|1
Charlotte, NC       | 80|50|45|W|-5.00|1
Chattanooga, TN     | 85|18|32|W|-5.00|1
Cheyenne, WY        |104|49| 7|W|-7.00|1
Chicago, IL         | 87|38|22|W|-6.00|1
Cincinnati, OH      | 84|30|35|W|-5.00|1
Cleveland, OH       | 81|41|50|W|-5.00|1
Columbia, SC        | 81| 2| 0|W|-5.00|1
Columbus, GA        | 84|59|24|W|-5.00|1
Columbus, OH        | 83| 0|17|W|-5.00|1
Concord, NH         | 71|32|25|W|-5.00|1
Corpus Christi, TX  | 97|23|45|W|-6.00|1
Dallas, TX          | 96|47|37|W|-6.00|1
Dawson, AK          |139|26| 0|W|-9.00|1
Dayton, OH          | 84|11|43|W|-5.00|1
Denver, CO          |104|59|22|W|-7.00|1
Des Moines, IA      | 93|37| 0|W|-6.00|1
